date,open,high,low,close,volume,ticker,return,short_term_return_3,sma_10,sma_20,ema_50,volatility_10,open_sector,high_sector,low_sector,sector_close,volume_sector,return_sector,short_term_return_3_sector,sector_sma_10,sector_sma_20,ema_50_sector,sector_volatility_10,sector_return_1d,vix_level,pe_ratio,eps,revenue_growth,debt_to_equity,roe,used_fallback,news_sentiment,pct_pred,direction,confidence,label,price_1d,price_3d,price_5d,forecast_date,pct_pred_xgboost,pct_pred_lightgbm,pct_pred_catboost,pct_pred_ensemble
2025-05-05,557.81,564.55,555.85,563.94,506350,MA,0.0081338600976064,0.028974929752217,541.847,523.9175,534.5831171261686,0.0119769275395087,49.34,49.7297,49.1,49.685,7198887.0,-0.001507234726688,0.0189704675963906,48.4945,47.30075,48.52421280452226,0.0115474261288937,-0.001507234726688,,15.0,2.0,0.05,1.0,0.1,,,0.1291505888832197,Up,0.7,Buy,564.668331830948,566.1278186422385,567.5910777595574,2025-05-05,,,,
2025-05-06,556.48,565.725,556.1,558.86,1659168,MA,-0.0040276589677786,0.0223734518778699,544.7180000000001,527.4435000000001,535.4049093615295,0.008934009875928,,,,,,,,,,,,,24.76,,,,,,,,-2.1096227748886345,Down,0.1,Avoid,547.0701621602574,524.2314027162812,502.34610220503146,2025-05-06,-8.048479,1.3763022779658594,0.3433084775684333,-2.1096227748886345
2025-05-06,556.48,565.74,556.1,558.99,2330673,MA,-0.0037959794696321,0.0226112727073157,544.731,527.45,535.4636616533855,0.0089057764791133,49.0,49.56,48.97,49.16,28699207.0,-0.005663430420712,0.0084102564102563,48.67,47.542,48.53731777246861,0.0090334365169026,-0.005663430420712,24.76,,,,,,,,1.0840748794416466,Up,0.85,Buy,565.0498701685908,577.3674032635046,589.9534465016008,2025-05-07,0.8840652,1.0519233900198843,1.3162360374858113,1.0840748794416466
2025-05-08,569.45,573.87,567.0,567.12,1999488,MA,0.0013949464093372,0.0106928999144568,551.529,534.355,537.9087564126396,0.0092280908207554,49.84,50.37,49.72,49.84,31108841.0,0.00788675429727,0.0080906148867314,49.002,47.949,48.62810567318717,0.0084052073525133,0.00788675429727,22.48,,,,,,False,0.4767,-0.7423512602148739,Down,0.9,Avoid,562.9099775330694,554.5834600555353,546.380107730638,2025-05-09,-0.37128282,-0.6352915796669727,-1.220479385044421,-0.7423512602148739
2025-05-09,567.45,569.58,564.6,568.64,1528000,MA,0.002680208774157,0.0172632784128516,555.045,537.8199999999999,539.1066907522276,0.0087043414153942,49.96,50.03,49.72,49.85,22011638.0,-0.0002005615724026,0.0140358014646053,49.187,48.147000000000006,48.67563784339369,0.0080596319829401,-0.0002005615724026,21.9,,,,,,False,0.9201,-1.09858179843129,Down,0.9,Avoid,562.3930244614003,550.1042038566464,538.0839056291045,2025-05-11,-1.14527,-0.5497603000437946,-1.6007151052827289,-1.09858179843129
2025-05-12,580.0,580.79,566.43,578.27,2999711,MA,0.0169351435002813,0.021083114085427,559.423,541.246,540.5754657125495,0.0091216253264458,51.11,51.2,50.55,50.87,44274103.0,0.0202567188126754,0.0287158746208289,49.458000000000006,48.3575,48.761268547869406,0.0095696488505193,0.0202567188126754,18.39,,,,,,False,0.0,0.1159514698469916,Up,0.45,Watch,578.9405125646842,580.2838710030624,581.6303465352607,2025-05-13,-0.12768549,0.409460088719091,0.066079808092239,0.1159514698469916
2025-05-13,578.0,582.86,575.8,576.59,2369858,MA,-0.0029052172860427,0.0166984059810975,563.114,544.4525,541.9995742986529,0.0097035549391033,51.0,51.32,50.91,51.08,33527023.0,0.0041281698447022,0.0244685118331327,49.699,48.554,48.85401664196222,0.0094191414519341,0.0041281698447022,18.22,,,,,,False,0.6249,-0.3102171977881897,Down,0.5,Avoid,574.8013186592731,571.240585155894,567.7019094012892,2025-05-14,-0.5948389,-0.1194980607284906,-0.216314615380677,-0.3102171977881897
2025-05-02,583.46,604.34,578.33,597.02,24663458,META,0.043358207651037,0.0767982108073008,540.8040000000001,533.5945,574.8796929355728,0.0252446201134832,96.55,97.93,96.41,97.42,3542330.0,0.0155321588658396,0.0210669741117284,93.764,91.8845,95.2746141880248,0.0133780986926832,0.0155321588658396,,15.0,2.0,0.05,1.0,0.1,False,0.289175,1.1947171664055356,Up,1.0,Buy,604.1527004268743,618.6747661552664,633.545899913762,2025-05-04,,,,
2025-05-05,590.74,602.5,583.455,599.335,4592992,META,0.0038775920404676,0.0916848816029145,552.2715000000001,538.32475,575.8358395980543,0.0187017188873877,96.38,97.75,96.18,97.67,1079644.0,0.0025662081708068,0.0233654652137469,94.713,92.4065,95.38593672986948,0.0085444342098589,0.0025662081708068,,15.0,2.0,0.05,1.0,0.1,False,0.51242,0.4842014913396382,Up,0.8,Buy,602.2369890081204,608.0831894839756,613.9861418044163,2025-05-05,,,,
2025-05-06,592.525,596.0,586.58,589.07,8381188,META,-0.0170207085287098,0.0294647070131595,561.144,541.9625,576.5015614239786,0.0218288925979861,,,,,,,,,,,,,24.76,,,,,,False,0.2287,-1.485524590754112,Down,0.15,Avoid,580.3192202932448,563.2057147255535,546.5968832451127,2025-05-06,-5.882384,1.1938876854992382,0.2319223656332018,-1.485524590754112
